PL.,   Lifters,BY,Team,Weight,WF,Lot,Squat1,Squat2,Squat3,Best Squat,Bench1,Bench2,Bench3,Best Bench,Dead1,Dead2,Dead3,Best Deadlift,Total Tom,TOTAL,W.pts.,Pts.,Year,Sex,Division,Sort
3,Andryukhin Mikhail,1970,RUS,65.75,0.7876,8,215,225,225,,130,135,140,,230,250,267.5,,0,600,472.59,8,2012,M,Classic,1435
16,Atzaris Charalampos,1987,GRE,103.85,0.5999,4,240,250,255,,120,127.5,130,,260,270,280,,0,630,377.93,1,2012,M,Classic,1508
1,Bakhirev Alexey,1981,RUS,73.4,0.7235,11,210,220,225,,152.5,160,167.5,,267.5,277.5,285,,0,670,484.74,12,2012,M,Classic,1443
8,Berglund Lars,1970,SWE,82.6,0.6694,8,210,222.5,222.5,,170,177.5,182.5,,175,210,232.5,,0,632.5,423.39,3,2012,M,Classic,1465
3,Berglund Per,1967,SWE,73.8,0.7207,4,215,222.5,227.5,,157.5,162.5,170,,255,260,262.5,,0,645,464.85,8,2012,M,Classic,1445
—,Bondik Denis,1974,KAZ,90.3,0.6373,7,240,245,245,,190,190,190,,240,245,250,,0,Out,—,—,2012,M,Classic,1491
1,Bouafia Mohamed,1976,ALG,119.85,0.575,15,330,340,350,,205,210,215,,320,340,355.5,,0,915.5/w/,526.45,12,2012,M,Classic,1512
10,Bull Hansen Bjorn Andreas,1972,NOR,110.35,0.5879,1,230,240,245,,172.5,180,185,,280,300,310,,0,730,429.16,1,2012,M,Classic,1521
1,Coimbra Anibal,1972,LUX,103.55,0.6023,6,295,305,312.5,,195,205,210,,310,325,332.5,,0,847.5,510.44,12,2012,M,Classic,1493
6,Coimbra David,1983,BRA,91.8,0.6321,8,245,260,260,,160,170,175,,270,290,305,,0,725,458.27,5,2012,M,Classic,1476
4,Cooper Paul,1975,GBR,73.4,0.7235,5,182.5,192.5,195,,147.5,152.5,155,,255,265,277.5,,0,612.5,443.14,7,2012,M,Classic,1446
8,Dahl Johannes,1983,SWE,93,0.6282,10,255,262.5,262.5,,165,170,172.5,,280,290,297.5,,0,717.5,450.73,3,2012,M,Classic,1478
13,Faber Martin,1982,DEN,92.25,0.6306,23,210,217.5,217.5,,175,180,180,,270,285,292.5,,0,677.5,427.26,1,2012,M,Classic,1483
9,Fazeli Amir,1986,AUS,82.4,0.6704,11,215,225,225,,130,130,135,,280,282.5,290,,0,630,422.35,2,2012,M,Classic,1466
1,Fedosienko Sergey,1982,RUS,57.6,0.8859,11,190,210,221,,145,155,160,,230,255,270,,0,651.0/w/,576.72,12,2012,M,Classic,1425
17,Filippoudis Paris,1982,GRE,101.55,0.6049,18,165,172.5,187.5,,180,187.5,192.5,,240,252.5,255,,0,615,372.01,1,2012,M,Classic,1509
7,Franzen Henrik,1979,SWE,99,0.6111,16,260,267.5,270,,175,180,182.5,,290,297.5,302.5,,0,752.5,459.85,4,2012,M,Classic,1499
11,Frasquillo Shawn,1986,USA,72,0.7337,13,185,202.5,207.5,,142.5,155,162.5,,220,225,237.5,,0,582.5,427.38,1,2012,M,Classic,1453
12,Gan Russell,1989,AUS,73.85,0.7204,3,175,185,187.5,,97.5,102.5,102.5,,220,227.5,230,,0,517.5,372.78,1,2012,M,Classic,1454
18,Germanchis Timothy,1980,AUS,92.35,0.6303,16,232.5,242.5,242.5,,145,152.5,152.5,,275,280,,,0,652.5,411.27,1,2012,M,Classic,1488
9,Girones Carles,1976,ESP,117.15,0.5783,14,250,270,275,,160,175,175,,290,320,330,,0,755,436.57,2,2012,M,Classic,1520
4,Golubev Vladimir,1986,KAZ,115.05,0.581,4,282.5,300,315,,192.5,197.5,202.5,,290,300,307.5,,0,805,467.7,7,2012,M,Classic,1515
10,Hill Scott,1977,AUS,91.95,0.6317,14,250,250,262.5,,170,180,187.5,,270,285,285,,0,700,442.15,1,2012,M,Classic,1480
5,Hjelmtveit Andreas,1983,NOR,104.4,0.5988,10,270,290,300,,170,177.5,180,,290,310,325,,0,795,476.04,6,2012,M,Classic,1497
11,Hodgett Mark,1979,GBR,81.2,0.6764,2,175,175,177.5,,130,137.5,142.5,,250,265,265,,0,565,382.16,1,2012,M,Classic,1468
3,Hornik Jiri,1978,CZE,91.6,0.6328,9,260,260,265,,175,180,190,,300,305,310,,0,745,471.43,8,2012,M,Classic,1473
1,Hsieh Tsung-Ting,1982,TPE,64,0.8057,15,205,215,220,,150,160,165.5,,245,260,270.5,,0,640,515.64,12,2012,M,Classic,1433
7,Huang Hsin-Wei,1989,TPE,71.5,0.7375,8,180,190,200,,110,120,122.5,,260,270,272.5,,0,592.5,436.96,4,2012,M,Classic,1449
13,Ikegami Hiroki,1991,JPN,66.45,0.7809,6,170,180,187.5,,110,115,,,215,230,230,,0,500,390.42,1,2012,M,Classic,1455
15,Ingebrigsten Fredrik,1989,NOR,90.8,0.6356,1,200,210,220,,185,195,195,,240,260,265,,0,665,422.67,1,2012,M,Classic,1485
12,Inkinen Timo,1982,FIN,92.4,0.6301,6,232.5,240,240,,177.5,182.5,185,,270,280,280,,0,692.5,436.34,1,2012,M,Classic,1482
2,Inoue Yusuke,1981,JPN,66,0.7852,16,210,217.5,222.5,,145,152.5,160,,235,235,245,,0,617.5,484.86,9,2012,M,Classic,1434
4,Ivanets Andrei,1984,BLR,103.8,0.6,8,260,275,282.5,,170,180,187.5,,325,340,360,,0,810,486,7,2012,M,Classic,1496
6,Jakimiuk Piotr,1987,POL,73.55,0.7225,9,207.5,215,220,,150,155,155,,240,250,250,,0,610,440.69,5,2012,M,Classic,1448
8,John Rhys,1981,GBR,117.3,0.5781,2,250,260,265,,175,182.5,187.5,,285,295,305,,0,757.5,437.91,3,2012,M,Classic,1519
8,Jonczak Szymon,1987,POL,65.95,0.7857,10,140,152.5,160,,125,135,142.5,,175,180,200,,0,495,388.92,3,2012,M,Classic,1440
5,Jonsson Torbjorn,1967,SWE,65.8,0.7872,1,165,175,180,,120,127.5,130,,220,232.5,235,,0,542.5,427.05,6,2012,M,Classic,1437
14,Jovicevic Andrew,1966,AUS,103.75,0.6001,1,240,250,255,,170,180,185,,260,270,270,,0,710,426.07,1,2012,M,Classic,1506
2,Karpenko Alexander,1980,RUS,92.25,0.6306,11,240,252.5,262.5,,190,200,205,,285,300,310,,0,757.5,477.71,9,2012,M,Classic,1472
15,Kawaguchi Mitsuru,1970,JPN,99.75,0.6092,9,225,235,242.5,,170,175,175,,220,235,235,,0,640,389.88,1,2012,M,Classic,1507
16,Keys Marc,1985,GBR,92.75,0.629,21,215,222.5,227.5,,175,180,182.5,,260,270,270,,0,662.5,416.71,1,2012,M,Classic,1486
7,Kirby Russell,1971,GBR,116.2,0.5795,10,260,275,282.5,,185,195,200,,280,290,295,,0,767.5,444.76,4,2012,M,Classic,1518
8,Kirkeboen Lars,1982,NOR,160,0.5482,13,280,295,300,,175,177.5,185,,320,340,350,,0,825,452.26,3,2012,M,Classic,1534
20,Knudsen Andreas,1983,DEN,92,0.6315,4,205,220,230,,160,167.5,170,,200,220,235,,0,607.5,383.63,1,2012,M,Classic,1490
9,Kolar Marek,1988,CZE,91.3,0.6338,22,250,262.5,265,,150,162.5,162.5,,280,295,295,,0,707.5,448.41,2,2012,M,Classic,1479
9,Kot Sebastian,1985,POL,104.65,0.5983,14,260,270,275,,180,187.5,192.5,,290,310,310,,0,747.5,447.22,2,2012,M,Classic,1501
4,Kovalchuk Artem,1982,RUS,151.4,0.5526,10,330,350,350,,185,195,195,,332.5,345,345,,0,847.5,468.32,7,2012,M,Classic,1530
6,Kruze Martins,1988,LAT,142.5,0.5573,9,297.5,312.5,325,,190,200,205,,295,305,310,,0,840,468.13,5,2012,M,Classic,1532
17,Kubo Kyohei,1987,JPN,92.45,0.63,24,245,260,267.5,,140,150,155,,225,240,250,,0,660,415.76,1,2012,M,Classic,1487
5,Kuhns Michael,1985,USA,58.7,0.8703,12,210,210,225,,80,90,97.5,,162.5,172.5,182.5,,0,495,430.79,6,2012,M,Classic,1429
3,Kupperstein Eric,1966,USA,58.55,0.8724,18,175,187.5,187.5,,92.5,100,102.5,,232.5,252.5,262.5,,0,540,471.09,8,2012,M,Classic,1427
4,Kuvambayev Zalim,1986,KAZ,92.95,0.6283,15,252.5,252.5,260,,180,190,192.5,,287.5,297.5,310,,0,742.5,466.54,7,2012,M,Classic,1474
2,Kuzmin Alexey,1982,RUS,81.15,0.6766,6,245,252.5,255,,167.5,175,180,,280,287.5,297.5,,0,715,483.8,9,2012,M,Classic,1459
12,Kyriakopoulos Theodoros,1978,GRE,80.7,0.679,10,150,162.5,170,,140,152.5,160,,190,210,225,,0,555,376.84,1,2012,M,Classic,1469
4,Lakehal Mohamed,1982,ALG,59,0.8662,6,200,210,210,,110,110,112.5,,210,210,217.5,,0,527.5,456.92,7,2012,M,Classic,1428
6,Leberwurst Franz,1969,AUT,115.7,0.5801,11,290,290,302.5,,172.5,177.5,180,,290,300,305,,0,770,446.67,5,2012,M,Classic,1517
3,Likhanov Dmitry,1979,RUS,104.05,0.5995,17,285,300,307.5,,200,210,215,,305,317.5,322.5,,0,830,497.58,8,2012,M,Classic,1495
13,Loutsis Mihail,1984,GRE,129.35,0.5661,3,260,260,295,,200,210,215,,260,275,282.5,,0,750,424.57,1,2012,M,Classic,1539
7,Lutz Connor,1990,CAN,80.4,0.6806,14,207.5,220,227.5,,160,175,177.5,,230,245,250,,0,650,442.39,4,2012,M,Classic,1464
7,Luu Nghiep,1975,AUS,65.45,0.7906,5,172.5,180,180,,92.5,97.5,97.5,,250,270.5,271,,0,520,411.11,4,2012,M,Classic,1439
14,Macken Xavier,1994,AUS,73.85,0.7204,12,175,185,192.5,,95,100,102.5,,210,210,210,,0,497.5,358.37,1,2012,M,Classic,1456
7,Markussen Lars,1974,NOR,129.55,0.5659,11,292.5,300,305,,200,210,210,,310,325,327.5,,0,825,466.9,4,2012,M,Classic,1533
19,Marron Chris,1982,CAN,92.1,0.6311,13,190,210,235,,170,182.5,187.5,,230,252.5,272.5,,0,650,410.21,1,2012,M,Classic,1489
5,Mdivnishvili Irakli,1980,UKR,72.2,0.7322,15,190,200,200,,152.5,160,162.5,,240,247.5,265,,0,610,446.64,6,2012,M,Classic,1447
13,Mitchell John,1959,GBR,103.35,0.601,7,270,270,270,,150,160,170,,250,280,280,,0,720,432.72,1,2012,M,Classic,1505
6,Mizuno Takaaki,1967,JPN,58.6,0.8717,4,155,165,170,,120,125,125,,200,210,212.5,,0,490,427.13,5,2012,M,Classic,1430
6,Morozumi Yasuhiro,1977,JPN,65.6,0.7891,13,170,180,185,,115,120,122.5,,220,230,237.5,,0,535,422.16,5,2012,M,Classic,1438
6,Muhonen Tomi,1983,FIN,104.65,0.5983,5,270,290,290,,190,197.5,202.5,,285,300,310,,0,787.5,471.16,5,2012,M,Classic,1498
9,Muller Jorg,1966,GER,73.25,0.7246,7,205,217.5,220,,117.5,122.5,125,,230,242.5,,,0,587.5,425.67,2,2012,M,Classic,1451
8,Muttonen Mikko,1987,FIN,103.35,0.601,2,240,250,255,,175,185,192.5,,300,310,325,,0,750,450.75,3,2012,M,Classic,1500
11,Nacle Daniel,1978,BRA,128.05,0.5672,2,275,295,305,,195,207.5,207.5,,275,295,295,,0,765,433.86,1,2012,M,Classic,1537
12,Nemeshazy Janos Istvan Jr,1979,SUI,103.8,0.6,11,250,260,265,,150,160,,,310,312.5,320,,0,727.5,436.5,1,2012,M,Classic,1504
2,Nieminen Sami,1975,FIN,73.2,0.7249,14,210,220,225,,145,150,155,,265,280,300,,0,650,471.18,9,2012,M,Classic,1444
14,Nishikawa Yosuke,1985,JPN,92.3,0.6305,12,240,260,265,,135,142.5,145,,250,270,285,,0,672.5,423.99,1,2012,M,Classic,1484
11,Nolan Matthew,1986,USA,91.65,0.6326,17,230,230,230,,157.5,167.5,172.5,,292.5,312.5,312.5,,0,695,439.69,1,2012,M,Classic,1481
5,Nystrom David,1983,SWE,119.25,0.5757,5,280,290,302.5,,200,205,210,,280,292.5,297.5,,0,800,460.6,6,2012,M,Classic,1516
12,Pearce Matthew,1988,GBR,138.05,0.56,4,275,285,290,,185,195,200,,255,270,275,,0,760,425.6,1,2012,M,Classic,1538
8,Perez Cordoba Jorge,1991,ESP,72.65,0.7289,1,190,205,215,,115,125,130,,245,262.5,267.5,,0,592.5,431.87,3,2012,M,Classic,1450
4,Picot-Gueraud Romain,1987,FRA,82.2,0.6714,5,240,250,255,,152.5,160,162.5,,250,265,275,,0,690,463.26,7,2012,M,Classic,1461
9,Pielorz Stefan,1974,GER,139.35,0.5592,8,295,307.5,312.5,,195,207.5,215,,290,300,305,,0,812.5,454.35,2,2012,M,Classic,1535
7,Pinheiro Gilles,1987,FRA,89.05,0.6419,18,240,250,257.5,,165,170,175,,290,302.5,305,,0,722.5,463.77,4,2012,M,Classic,1477
3,Pritchard Stephen,1970,AUS,132,0.5641,12,305,320,330,,205,215,220,,295,310,315,,0,855,482.3,8,2012,M,Classic,1529
2,Raus Alex-Edvard,1992,EST,104.2,0.5992,19,300,315,325,,195,207.5,215,,300,312.5,325,,0,845,506.32,9,2012,M,Classic,1494
5,Ronkainen Mikko,1987,FIN,92.3,0.6305,2,240,260,265,,155,165,170,,275,295,305,,0,735,463.41,6,2012,M,Classic,1475
10,Schmidt Peter,1974,GER,72.6,0.7293,10,205,215,220,,127.5,135,135,,215,230,237.5,,0,585,426.64,1,2012,M,Classic,1452
5,Seppanen Tero,1972,FIN,137.5,0.5603,5,290,300,307.5,,220,227.5,232.5,,310,322.5,322.5,,0,845,473.45,6,2012,M,Classic,1531
13,Sidiropoulos Damianos,1988,GRE,116.65,0.5789,7,230,252.5,265,,130,150,162.5,,240,252.5,262.5,,0,690,399.44,1,2012,M,Classic,1524
2,Simonyan Kamo,1971,RUS,113.75,0.5827,3,320,325,340,,185,192.5,197.5,,310,327.5,342.5,,0,865,504.07,9,2012,M,Classic,1513
6,Sipilainen Pasi,1978,FIN,81.95,0.6726,4,200,210,215,,160,165,167.5,,280,290,290,,0,655,440.58,5,2012,M,Classic,1463
2,Sjogren Robin,1987,SWE,162.25,0.5471,14,312.5,325,332.5,,190,197.5,202.5,,310,330,335,,0,860,470.46,9,2012,M,Classic,1528
11,Skaarup Nicolas,1985,DEN,119,0.5761,13,240,255,265,,185,195,205,,275,285,285,,0,725,417.67,1,2012,M,Classic,1522
12,Smith Jesper,1973,DEN,118.2,0.577,9,260,270,275,,160,165,165,,240,260,265,,0,700,403.9,1,2012,M,Classic,1523
10,Sprutta Robert,1988,POL,144.3,0.5563,1,290,300,300,,175,182.5,190,,300,315,330,,0,787.5,438.08,1,2012,M,Classic,1536
4,Su Chih-Lun,1984,TPE,65.7,0.7881,17,170,182.5,187.5,,130,135,140,,220,235,250,,0,562.5,443.3,7,2012,M,Classic,1436
1,Sumner Blaine,1987,USA,158.75,0.5489,6,375,375,392.5,,200,207.5,215,,300,300,317.5,,0,907.5,498.08,12,2012,M,Classic,1527
10,Takeda Yusuke,1985,JPN,99.85,0.6089,13,245,260,275,,185,195,205,,240,260,277.5,,0,740,450.62,1,2012,M,Classic,1502
—,Tersenidis Grigorios,1986,GRE,115.35,0.5805,12,230,240,250,,180,192.5,192.5,,240,252.5,260,,0,Out,—,—,2012,M,Classic,1525
3,Tertitski Alex,1978,USA,82.9,0.668,9,222.5,235,247.5,,150,157.5,162.5,,280,297.5,310,,0,707.5,472.61,8,2012,M,Classic,1460
3,Tuchscherer Michael,1985,USA,118.7,0.5764,6,315,315,315,,197.5,207.5,212.5,,342.5,362.5,362.5,,0,865,498.58,8,2012,M,Classic,1514
1,Turakhanov Davranbek,1974,KAZ,80,0.6827,12,250,252.5,252.5,,162.5,170,172.5,,275,285,295,,0,720,491.54,12,2012,M,Classic,1458
5,Virzi Francesco,1983,GER,82.3,0.6709,7,240,250,255,,167.5,172.5,177.5,,250,250,272.5,,0,677.5,454.53,6,2012,M,Classic,1462
11,Walgermo Stian,1988,NOR,104.55,0.5985,15,255,267.5,272.5,,190,197.5,197.5,,255,270,287.5,,0,732.5,438.4,1,2012,M,Classic,1503
—,Weaver Simon,1975,NZL,104.9,0.5978,12,260,260,260,,170,175,182.5,,260,280,,,0,Out,—,—,2012,M,Classic,1510
1,Wierzbicki Krzysztof,1990,POL,89.3,0.641,19,235,247.5,252.5,,170,180,182.5,,310,330,353,,0,765,490.36,12,2012,M,Classic,1471
9,Wilkes Darren,1978,GBR,63.3,0.8133,2,140,147.5,150,,112.5,112.5,120,,170,177.5,182.5,,0,445,361.91,2,2012,M,Classic,1441
10,Wojciechowski Kamil,1986,POL,81.5,0.6749,1,185,195,205,,180,190,192.5,,220,230,237.5,,0,617.5,416.75,1,2012,M,Classic,1467
2,Wszola Dariusz,1978,POL,57.8,0.883,14,185,195,202.5,,140,145,150,,180,190,200,,0,547.5,483.44,9,2012,M,Classic,1426
7,Wulffeld Thomas,1969,SWE,58.9,0.8675,9,150,155,160,,87.5,90,,,200,212.5,215,,0,457.5,396.88,4,2012,M,Classic,1431
8,Aaberg Jane,1981,DEN,83.47,0.8946,11,180,190,195,,110,112.5,112.5,,205,217.5,222.5,,0,522.5,467.43,3,2015,F,Open,201
2,Adolfsson Jenny,1982,SWE,62.54,"10,799",12,142.5,150,152.5,,105,110,112.5,,160,172.5,177.5,,0,440,475.16,9,2015,F,Classic,389
7,Ananiadou Eytyhia,1987,GRE,90.3,0.8629,16,185,192.5,195,,85,95,102.5,,190,200,207.5,,0,497.5,429.29,4,2015,F,Classic,431
13,Anthouard Melodie,1988,FRA,56.58,"11,671",6,155,160,165,,120,120,125,,135,135,140,,0,415,484.35,1,2015,F,Open,166
4,Apuli Sanna,1981,FIN,46.67,"13,517",7,142.5,150,150,,80,85,85,,145,160,165,,0,390,527.16,7,2015,F,Open,136
5,Arnesen Hille Heidi,1970,NOR,83.18,0.8962,9,242.5,247.5,250,,140,145,145,,205,210,217.5,,0,602.5,539.96,6,2015,F,Open,198
8,Atemie Rachel,1991,GBR,80.8,0.91,4,120,130,135,,67.5,75,80,,165,175,182.5,,0,392.5,357.18,3,2015,F,Classic,422
6,Bagger Trine,1986,DEN,51.77,"12,509",15,132.5,140,145,,92.5,97.5,100,,155,165,170,,0,412.5,516,5,2015,F,Open,146
9,Baij Thayse,1987,BRA,79.27,0.9197,7,145,145,157.5,,60,67.5,75,,175,177.5,177.5,,0,387.5,356.38,2,2015,F,Classic,423
8,Baines Kacey,1980,CAN,61.42,"10,950",11,125,130,135,,65,67.5,70,,165,175,180,,0,380,416.1,3,2015,F,Classic,395
6,Barbosa Irani,1986,BRA,56.16,"11,740",5,172.5,180,185,,102.5,107.5,107.5,,160,170,177.5,,0,457.5,537.11,5,2015,F,Open,159
12,Bitterova Zuzana,1984,CZE,103.29,0.8252,12,100,120,127.5,,60,67.5,72.5,,110,125,135,,0,335,276.44,1,2015,F,Classic,436
9,Blummenfelt Kine,1991,NOR,56.8,"11,636",10,177.5,182.5,185,,82.5,87.5,92.5,,157.5,162.5,167.5,,0,445,517.8,2,2015,F,Open,162
2,Blyn Liane,1972,USA,82.59,0.8995,8,232.5,240,247.5,,175,182.5,188,,212.5,212.5,215,,0,640.5,576.13,9,2015,F,Open,195
13,Bogdanova Marianna,1983,EST,56.59,"11,670",16,110,115,,,60,62.5,,,140,145,,,0,322.5,376.36,1,2015,F,Classic,383
—,Bowers Shasha,1995,GBR,83.2,0.8961,7,135,135,135,,62.5,65,67.5,,110,117.5,122.5,,0,DSQ,—,—,2015,F,Open,204
9,Brimboeuf Fanny,1986,FRA,54.98,"11,937",2,117.5,125,130,,80,85,87.5,,140,147.5,147.5,,0,352.5,420.78,2,2015,F,Classic,379
